"","gvkey","sic2","category"
"1",1004,50,"Wholesale Trade"
"2",1010,37,"Manufacturing"
"3",1013,36,"Manufacturing"
"4",1017,38,"Manufacturing"
"5",1019,73,"Services"
"6",1021,38,"Manufacturing"
"7",1025,50,"Wholesale Trade"
"8",1034,28,"Manufacturing"
"9",1036,35,"Manufacturing"
"10",1037,36,"Manufacturing"
"11",1038,78,"Services"
"12",1043,35,"Manufacturing"
"13",1045,45,"Transportation & Public Utilities"
"14",1048,NA,NA
"15",1050,35,"Manufacturing"
"16",1055,35,"Manufacturing"
"17",1056,38,"Manufacturing"
"18",1062,67,"Finance, Insurance, Real Estate"
"19",1072,36,"Manufacturing"
"20",1073,73,"Services"
"21",1075,49,"Transportation & Public Utilities"
"22",1076,73,"Services"
"23",1078,28,"Manufacturing"
"24",1081,26,"Manufacturing"
"25",1082,15,"Construction"
"26",1084,67,"Finance, Insurance, Real Estate"
"27",1086,49,"Transportation & Public Utilities"
"28",1090,35,"Manufacturing"
"29",1094,51,"Wholesale Trade"
"30",1095,73,"Services"
"31",1096,50,"Wholesale Trade"
"32",1097,63,"Finance, Insurance, Real Estate"
"33",1098,36,"Manufacturing"
"34",1099,36,"Manufacturing"
"35",1104,34,"Manufacturing"
"36",1107,50,"Wholesale Trade"
"37",1108,50,"Wholesale Trade"
"38",1109,20,"Manufacturing"
"39",1111,73,"Services"
"40",1115,38,"Manufacturing"
"41",1117,36,"Manufacturing"
"42",1119,NA,NA
"43",1121,51,"Wholesale Trade"
"44",1148,62,"Finance, Insurance, Real Estate"
"45",1151,38,"Manufacturing"
"46",1154,87,"Services"
"47",1161,36,"Manufacturing"
"48",1164,48,"Transportation & Public Utilities"
"49",1165,51,"Wholesale Trade"
"50",1166,35,"Manufacturing"
"51",1173,38,"Manufacturing"
"52",1177,63,"Finance, Insurance, Real Estate"
"53",1183,75,"Services"
"54",1186,10,"Mining"
"55",1189,87,"Services"
"56",1193,20,"Manufacturing"
"57",1194,60,"Finance, Insurance, Real Estate"
"58",1203,47,"Transportation & Public Utilities"
"59",1209,28,"Manufacturing"
"60",1210,45,"Transportation & Public Utilities"
"61",1213,45,"Transportation & Public Utilities"
"62",1224,NA,NA
"63",1225,NA,NA
"64",1226,13,"Mining"
"65",1228,35,"Manufacturing"
"66",1230,45,"Transportation & Public Utilities"
"67",1233,65,"Finance, Insurance, Real Estate"
"68",1234,49,"Transportation & Public Utilities"
"69",1235,22,"Manufacturing"
"70",1238,13,"Mining"
"71",1239,28,"Manufacturing"
"72",1240,54,"Retail Trade"
"73",1243,33,"Manufacturing"
"74",1244,28,"Manufacturing"
"75",1245,51,"Wholesale Trade"
"76",1246,51,"Wholesale Trade"
"77",1250,36,"Manufacturing"
"78",1253,64,"Finance, Insurance, Real Estate"
"79",1254,44,"Transportation & Public Utilities"
"80",1255,13,"Mining"
"81",1257,65,"Finance, Insurance, Real Estate"
"82",1258,13,"Mining"
"83",1259,28,"Manufacturing"
"84",1260,28,"Manufacturing"
"85",1262,44,"Transportation & Public Utilities"
"86",1263,33,"Manufacturing"
"87",1265,10,"Mining"
"88",1266,10,"Mining"
"89",1272,NA,NA
"90",1274,63,"Finance, Insurance, Real Estate"
"91",1278,36,"Manufacturing"
"92",1279,49,"Transportation & Public Utilities"
"93",1281,36,"Manufacturing"
"94",1283,39,"Manufacturing"
"95",1297,35,"Manufacturing"
"96",1300,37,"Manufacturing"
"97",1308,76,"Services"
"98",1318,48,"Transportation & Public Utilities"
"99",1324,38,"Manufacturing"
"100",1327,36,"Manufacturing"
"101",1328,34,"Manufacturing"
"102",1331,33,"Manufacturing"
"103",1332,65,"Finance, Insurance, Real Estate"
"104",1334,35,"Manufacturing"
"105",1335,48,"Transportation & Public Utilities"
"106",1336,48,"Transportation & Public Utilities"
"107",1351,36,"Manufacturing"
"108",1352,NA,NA
"109",1356,33,"Manufacturing"
"110",1359,28,"Manufacturing"
"111",1360,13,"Mining"
"112",1363,73,"Services"
"113",1367,13,"Mining"
"114",1372,34,"Manufacturing"
"115",1378,17,"Construction"
"116",1380,29,"Manufacturing"
"117",1382,45,"Transportation & Public Utilities"
"118",1388,45,"Transportation & Public Utilities"
"119",1392,35,"Manufacturing"
"120",1393,75,"Services"
"121",1397,30,"Manufacturing"
"122",1408,21,"Manufacturing"
"123",1410,73,"Services"
"124",1411,27,"Manufacturing"
"125",1414,99,"Public Administration"
"126",1417,NA,NA
"127",1418,42,"Transportation & Public Utilities"
"128",1429,20,"Manufacturing"
"129",1431,80,"Services"
"130",1439,49,"Transportation & Public Utilities"
"131",1440,49,"Transportation & Public Utilities"
"132",1441,38,"Manufacturing"
"133",1444,87,"Services"
"134",1446,13,"Mining"
"135",1447,61,"Finance, Insurance, Real Estate"
"136",1448,61,"Finance, Insurance, Real Estate"
"137",1449,63,"Finance, Insurance, Real Estate"
"138",1450,61,"Finance, Insurance, Real Estate"
"139",1456,30,"Manufacturing"
"140",1465,63,"Finance, Insurance, Real Estate"
"141",1468,27,"Manufacturing"
"142",1470,36,"Manufacturing"
"143",1474,63,"Finance, Insurance, Real Estate"
"144",1478,28,"Manufacturing"
"145",1485,48,"Transportation & Public Utilities"
"146",1487,63,"Finance, Insurance, Real Estate"
"147",1491,26,"Manufacturing"
"148",1494,55,"Retail Trade"
"149",1495,73,"Services"
"150",1496,25,"Manufacturing"
"151",1500,73,"Services"
"152",1507,NA,NA
"153",1511,99,"Public Administration"
"154",1518,59,"Retail Trade"
"155",1523,73,"Services"
"156",1526,63,"Finance, Insurance, Real Estate"
"157",1530,99,"Public Administration"
"158",1533,28,"Manufacturing"
"159",1537,29,"Manufacturing"
"160",1539,87,"Services"
"161",1542,34,"Manufacturing"
"162",1543,44,"Transportation & Public Utilities"
"163",1544,13,"Mining"
"164",1545,65,"Finance, Insurance, Real Estate"
"165",1546,79,"Services"
"166",1551,58,"Retail Trade"
"167",1554,38,"Manufacturing"
"168",1559,80,"Services"
"169",1562,73,"Services"
"170",1567,35,"Manufacturing"
"171",1573,54,"Retail Trade"
"172",1577,36,"Manufacturing"
"173",1581,48,"Transportation & Public Utilities"
"174",1585,28,"Manufacturing"
"175",1587,49,"Transportation & Public Utilities"
"176",1590,67,"Finance, Insurance, Real Estate"
"177",1593,32,"Manufacturing"
"178",1594,53,"Retail Trade"
"179",1598,36,"Manufacturing"
